,repo,topics
899,casbin/casbin,"Authorization library,Access control models,ACL (Access Control Lists),RBAC (Role-Based Access Control),ABAC (Attribute-Based Access Control),Golang"
900,deviantony/docker-elk,"Elastic stack (ELK),Docker,Compose"
901,commitizen/cz-cli,"Command-line tools,Social movements,Software development,Commitizen,BlackLivesMatter"
902,fatih/vim-go,"Go development,Plugin for Vim"
903,spf13/spf13-vim,"Vim distribution,Ultimate Vim,Vim features and functionality"
904,lit/lit,"web components,lightweight,fast,simple,library"
905,oxford-cs-deepnlp-2017/lectures,"Natural Language Processing,Deep Learning,Recurrent Neural Networks,Word Embeddings,Language Modeling,Sequence to Sequence Models,Machine Translation,Attention Mechanisms,Text Generation,Question Answering Systems"
906,chromium/chromium,"GitHub,Chromium source"
907,medcl/elasticsearch-analysis-ik,"IK Analysis plugin,Lucene IK analyzer,Elasticsearch,Customized dictionary integration"
908,xtermjs/xterm.js,Web terminal
909,zziz/pwc,Repository maintenance status
910,google/cadvisor,"Resource usage analysis,Performance characteristics examination,Running containers focus"
911,justadudewhohacks/face-api.js,"Face detection,Face recognition,JavaScript API,Browser and nodejs integration,TensorFlow.js"
912,openai/gpt-3,"GPT-3,Language Models,Few-Shot Learning,Natural Language Processing,Machine Learning,Artificial Intelligence"
913,limetext/lime,"Open-source software,Text editor,API compatibility,Alternative to Sublime Text"
914,pydantic/pydantic,"Data validation,Python,Type hints"
915,ipfs/kubo,"IPFS implementation,Go programming language"
916,onnx/onnx,"Machine Learning Interoperability,Open Standards,Collaboration,Data Exchange,Model Portability,Reproducibility,Community Engagement"
917,google/libphonenumber,"Software libraries,Google,Programming languages,Java,C++,JavaScript,Phone number parsing,International phone numbers,Formatting,Validation"
918,zincsearch/zincsearch,"ZincSearch,Lightweight alternative to Elasticsearch,Written in Go,Minimal resource requirements"
919,timescale/timescaledb,"open-source time-series SQL database,fast ingest,complex queries,PostgreSQL extension"
920,wagtail/wagtail,"Django content management system,Flexibility,User experience"
921,yaronn/blessed-contrib,"Terminal dashboards,Ascii/Ansi art,Javascript"
922,facebook/lexical,"text editor framework,reliability,accessibility,performance"
923,facebookresearch/audiocraft,"Audiocraft library,Audio processing and generation with deep learning,EnCodec audio compressor/tokenizer,MusicGen music generation LM,Textual and melodic conditioning"
924,verdaccio/verdaccio,"Node.js,Private Proxy,Registry,Lightweight"
925,graphql/graphiql,"GraphiQL,GraphQL LSP,Reference Ecosystem,Browser Tools,IDE Tools"
926,apache/brpc,"Industrial-grade RPC framework,C++ Language,High-performance systems,Search,Storage,Machine learning,Advertisement,Recommendation,brpc acronym meaning"
927,twintproject/twint,"Twitter scraping,OSINT (Open-Source Intelligence),Python programming language,Evading Twitter API limitations,Scraping user followers and Tweets"
928,uutils/coreutils,"Cross-platform Rust rewrite,GNU coreutils"
929,matiassingers/awesome-readme,"Curated Lists,README Files,Software Documentation,Open-Source Projects,Best Practices,Templates and Guidelines"
930,zhayujie/chatgpt-on-wechat,"Wechat robot,ChatGPT,OpenAI API,itchat library,GPT3.5,GPT4.0,Customized bots with knowledge base support"
931,keon/awesome-nlp,"Natural Language Processing,NLP Resources"
932,kubernetes/kops,"Kubernetes Operations (kOps),Production Grade k8s Installation,Upgrades,Management"
933,antlr/antlr4,"ANTLR,parser generator,structured text processing,binary file processing"
934,microsoft/unilm,"Large-scale self-supervised pre-training,Transfer learning and multi-task learning,Cross-lingual and multi-lingual representation learning,Multi-modal pre-training and fusion,Applications and future directions"
935,lucidrains/vit-pytorch,"Vision Transformer,SOTA in vision classification,Single transformer encoder,Pytorch implementation"
936,go-chi/chi,"Go HTTP services,router,lightweight,idiomatic,composable"
937,trekhleb/learn-python,"Python learning playground and cheatsheet,Python script collection,Topics and code examples with explanations"
938,mlflow/mlflow,"Open source platform,Machine learning lifecycle"
939,wtfutil/wtf,"Personal information dashboard,Terminal-based interface,Data visualization and customization,Productivity and efficiency enhancement,Secure and private data handling"
940,airbnb/react-sketchapp,"Rendering React components,Sketch integration,React and Sketch collaboration"
941,kriskowal/q,"Promise library,JavaScript"
942,grab/front-end-guide,"📚 Study guide and introduction to the modern front-end stack.,🎯 Understanding the evolution and current state of front-end development.,🧱 Core building blocks: HTML, CSS, and JavaScript.,📦 Popular JavaScript frameworks and libraries: React, Vue, and Angular.,🎨 CSS preprocessors and design systems.,🛠️ Development tools and workflows for efficient coding.,📱 Responsive design and mobile-first approaches.,🌐 Integrating APIs and working with backend services.,🔐 Security and performance considerations for modern web applications.,🎓 Learning resources and best practices for staying up-to-date."
943,gradle/gradle,"Adaptable automation,Fast automation,Accessibility of automation"
944,learn-anything/learn-anything.xyz,"Organizing world's knowledge,Exploring connections,Curating learning paths"
945,prestodb/presto,"Presto,distributed SQL query engine,big data"
946,ampproject/amphtml,AMP web component framework
947,maxwellito/vivus,"JavaScript library,Drawing animation,SVG"
948,liabru/matter-js,"2D rigid body physics,Web applications"
949,transitive-bullshit/chatgpt-api,"Node.js client,ChatGPT API"
950,koel/koel,"Personal music streaming server,Functionality,Customization"
951,squidfunk/mkdocs-material,"Documentation,Simplicity,Functionality"
952,gravitational/teleport,"Infrastructure Access,Security,Ease of Use"
953,11ty/eleventy,"site generator,templates to HTML transformation"
954,bradtraversy/vanillawebprojects,"HTML5,CSS,JavaScript,Mini projects,No frameworks,No libraries"
955,acdlite/recompose,"React utility belt,Function components,Higher-order components"
956,spicetify/spicetify-cli,"Command-line tool,Customize Spotify client,Cross-platform support (Windows, MacOS, Linux)"
957,vasanthk/how-web-works,"Domain Name System (DNS) lookup,Translation of IP address to machine code,Sending an HTTP request,Receiving an HTTP response,Rendering the requested web page"
958,tldraw/tldraw,"whiteboard quality,writing surface,erasability,durability,magnetic functionality,accessories,ease of installation,value for money"
959,checkly/headless-recorder,"Chrome extension,Record browser interactions,Playwright script generation,Puppeteer script generation"
960,tayllan/awesome-algorithms,"Awesome places to learn algorithms,Practice algorithms,Curated list of resources"
961,riot/riot,"Component-based UI design,Simplicity and elegance in UI development,UI libraries and frameworks"
962,automerge/automerge-classic,"CRDT,Concurrent modification,Automatic merging"
963,gztchan/awesome-design,"Curated design resources,global accessibility,design community"
964,frappe/charts,"SVG Charts,Zero Dependencies,Responsive Design,Modern Aesthetics,Simplicity"
965,hyperledger/fabric,"Hyperledger Fabric,enterprise-grade permissioned distributed ledger framework,modular and versatile design,broad range of industry use cases,unique approach to consensus,performance at scale,privacy preservation"
966,cmusatyalab/openface,"Face recognition,Deep neural networks"
967,kailashahirwar/cheatsheets-ai,"Cheat Sheets,Machine Learning,Deep Learning,Research"
968,feathersjs/feathers,"API,Real-time application framework"
969,juanfont/headscale,"open source,self-hosted,Tailscale control server implementation"
970,umijs/qiankun,"Micro frontends,Blazing fast solution,Simple solution,Complete solution"
971,mahmoud/awesome-python-applications,"Free software,Open-source software,Python programming language"
972,openai/baselines,"OpenAI Baselines,Reinforcement Learning Algorithms,High-Quality Implementations"
973,keystonejs/keystone-classic,"Node.js,CMS (Content Management System),Web Application Framework"
974,gpujs/gpu.js,"GPU Accelerated JavaScript,WebAssembly,WebGL,GPU.js,Performance Improvements,Parallel Computing,Web Development,Interoperability,Graphics Processing Unit (GPU),Web Assembly Standard"
975,mnielsen/neural-networks-and-deep-learning,"Code samples,Neural Networks,Deep Learning,Book Content"
976,cayleygraph/cayley,"Open-source,Graph Database"
977,ether/etherpad-lite,"Etherpad,Real-time collaboration,Document editing"
978,shadcn-ui/taxonomy,"open source application,new router,server components,Next.js 13"
979,pmndrs/jotai,"React state management,Primitive and flexible solutions,Introduction to React state management libraries"
980,vulhub/vulhub,"Pre-Built Vulnerable Environments,Docker-Compose"
981,containerd/containerd,"Container runtime,Openness,Reliability"
982,redox-os/redox,"GitLab,Redox OS,Mirror Repository"
983,hashicorp/packer,"Packer,Machine Images,Multiple Platforms,Single Source Configuration"
984,twbs/ratchet,"Mobile app development,HTML,CSS,JavaScript"
985,frappe/erpnext,"Free and Open-Source Enterprise Resource Planning (FOSS ERP),Business Management Software,Open-Source Software Benefits,Community-Driven Development,Customization and Control,Popular FOSS ERP Solutions"
986,bcicen/ctop,"Container metrics,Top-like interface,Monitoring,Performance analysis"
987,cyrildiagne/ar-cutpaste,"Augmented Reality,AR tools,surroundings manipulation"
988,ish-app/ish,Linux shell for iOS
989,apple/swift-evolution,"Changes and enhancements to the Swift Programming Language,User-visible enhancements"
990,jupyter/jupyter,"Jupyter metapackage,Installation,Documentation,Chat/Discussion"
991,pavlobu/deskreen,"Deskreen,Secondary Screen,Web Browser,Computer"
992,bvaughn/react-window,"React components,Rendering large lists,Tabular data"
993,containrrr/watchtower,"Automating Docker container base image updates,Process for automation,Container base image updates"
994,browserify/browserify,"browser-side require(),Node.js"
995,raysan5/raylib,"Video game programming,Simplicity and ease of use,Library and tools"
996,bettercap/bettercap,"Network reconnaissance,MITM attacks,Swiss Army knife tool,802.11,BLE,IPv4,IPv6"
997,pytorch/vision,"Datasets,Transforms,Models specific to Computer Vision"
998,faressoft/terminalizer,"Terminal recording,Animated GIF images,Web player sharing"
999,bootstrap-vue/bootstrap-vue,"BootstrapVue,Vue.js,WAI-ARIA accessibility"
1000,charmbracelet/gum,"Shell scripts,Glamorous tool,Scripting language"
1001,hapijs/hapi,"Simplicity in development,Security in framework design,Trust and reliability for developers"
1002,angular-ui/bootstrap,"Native AngularJS directives for Bootstrap,Smaller footprint,No 3rd-party JS dependencies required"
1003,umijs/umi,React framework
1004,borisdayma/dalle-mini,"DALL·E Mini,Image generation,Text prompts"
1005,dogecoin/dogecoin,"Introduction to Chatbots,Natural Language Processing,Machine Learning Techniques,Training Data and Algorithms,Ethical and Legal Considerations,Chatbot Applications and Use Cases,The Future of Chatbot Technology"
1006,ory/hydra,"OpenID Certified,OpenID Connect,OAuth Provider,Go language,Cloud native,Security-first,Open source API security,SDKs,Hardware Security Modules,Compatible with MITREid"
1007,tc39/ecma262,"ECMA-262 Standardization Process,ECMA Technical Committee,ECMA General Assembly,ECMA Publication,ECMA-262 Document Types,ECMA-262 Specification,ECMA-262 Test Suite"
1008,scottbez1/smartknob,"Haptic input knob,Software-defined endstops,Virtual detents"
1009,kubernetes-sigs/kubespray,Deploy a Production-Ready Kubernetes Cluster
1010,dutchcoders/transfer.sh,"File sharing,Command-line interface"
1011,thomaspark/bootswatch,"Introduction to Bootstrap,Grid System and Responsive Design,Styling with Bootstrap,Bootstrap Components,JavaScript Interactions,Customizing and Extending Bootstrap,Integrating Bootstrap with Other Frameworks,Bootstrap for Production,Bootstrap Resources and Community Support"
1012,react-native-maps/react-native-maps,"React Native,Mapview component,iOS,Android"
1013,apple/ml-stable-diffusion,"Stable Diffusion,Core ML,Apple Silicon,AI,Image Generation"
1014,facebook/infer,"Static analysis,Java,C,C++,Objective-C"
1015,flarum/flarum,"Forum software,Community building"
1016,rrweb-io/rrweb,Record and replay the web
1017,snail007/goproxy,"Proxy server,High performance,HTTP(S) proxies,SOCKS5 proxies,WEBSOCKET,TCP,UDP,Chain-style proxies,LAN networking,Port forwarding,SSH forwarding,Cross-platform support,KCP support,Authentication API"
1018,fabric/fabric,"Remote execution,Deployment,Simplicity,Pythonic solutions"
1019,adonisjs/core,"Node.js Framework,Developer Ergonomics,Stability,Confidence"
1020,github/docs,"Open-source,Repository,Documentation"
1021,pallets/click,"Python,Command-Line Interface,Toolkit,Composable Interfaces"
1022,moment/luxon,"Date and time manipulation in JavaScript,Date libraries for JS,Time manipulation functions"
1023,thingsboard/thingsboard,"Device management,Data collection,Data processing,Data visualization"
1024,chentsulin/awesome-graphql,"GraphQL Ecosystem,GraphQL Clients,GraphQL Tools,GraphQL Servers,GraphQL Databases,GraphQL Testing,GraphQL Editors and IDE Plugins,GraphQL Podcasts and Videos,GraphQL Tutorials and Blogs,GraphQL Books,GraphQL Utilities,GraphQL Services,GraphQL Community"
1025,ml-tooling/best-of-ml-python,"Machine Learning,Python Libraries,Weekly Updates"
1026,vectordotdev/vector,"High-performance,Observability,Data Pipeline"
1027,uber-go/guide,"Introduction to the Uber Go Style Guide,Formatting and Code Conventions,Language Specific Guidelines (Go),Documentation and Comments,Testing and Performance,Design Principles and Patterns,Best Practices and Anti-Patterns,Contribution and Collaboration,FAQs and Troubleshooting"
1028,projectdiscovery/nuclei,"Vulnerability scanning,Customizability,YAML-based domain-specific language (DSL)"
1029,dropbox/zxcvbn,"Password Strength Estimation,Low-Budget Methods,Evaluation Metrics,Machine Learning Techniques,Usability Considerations"
1030,nextui-org/nextui,"React UI library,Beautiful design,Performance,Modern features"
1031,infinitered/reactotron,"Desktop app,Inspect React JS projects,Inspect React Native projects,Cross-platform support (macOS, Linux, Windows)"
1032,ramitsurana/awesome-kubernetes,"Kubernetes,Curated Lists,Awesome Sources,Tools and Resources"
1033,graphql/graphql-spec,"GraphQL,Query Language,Execution Engine,Backend Service Integration"
1034,ben-manes/caffeine,"Caching,Java,Performance"
1035,leandromoreira/digital_video_introduction,"Video technology,Image,Video codecs (AV1, VP9, H265),FFmpeg encoding,Translations in various languages"
1036,yiisoft/yii2,"Yii 2,PHP Framework,Speed and Performance,Security Features,Professional Development Tools"
1037,fbsamples/f8app,"Source code,Official F8 app,2017,React Native,Facebook open source projects"
1038,google/gvisor,Application Kernel for Containers
1039,textmate/textmate,"TextMate,graphical text editor,macOS 10.12 or later"
1040,terrastruct/d2,"Diagram scripting language,Text-to-diagram conversion"
1041,foambubble/foam,"Personal Knowledge Management,Knowledge Sharing,VSCode"
1042,trufflesuite/truffle,"Smart contract development tool,Fine cacaos"
1043,getgrav/grav,"Flat-File CMS,PHP,Markdown,Twig,Symfony"
1044,tensorflow/tensor2tensor,"Deep learning models,Datasets,Machine learning research acceleration,Accessibility in deep learning"
1045,marcuswestin/store.js,"Cross-browser storage,Use cases,Web integration"
1046,rqlite/rqlite,"Lightweight database,Distributed database,Relational database,SQLite-based database"
1047,plotly/plotly.py,"Python,Plotly,Graphing library,Plotly Express"
1048,ent/ent,"Entity framework for Go,Entity,ORM,Database interaction,Object-relational mapping,Code generation,Database schema migration,SQL generation,Concurrency control,Transactions,Relationship mapping"
1049,geeeeeeeeek/electronic-wechat,"WeChat,macOS,Linux,Electron,Zhongyi Tong"
1050,lionsoul2014/ip2region,"Ip2region 2.0 - xdb,offline IP address manager,locator with fast searching performance,support for large data segments,xdb engine implementation in multiple programming languages"
1051,powerline/powerline,"Powerline,statusline plugin for vim,statuslines and prompts for other applications,supported applications: zsh, bash, tmux, IPython, Awesome, Qtile"
1052,paperjs/paper.js,"Scriptographer,JavaScript,HTML5 Canvas,@lehni,@puckey"
1053,hashicorp/nomad,"Nomad workload orchestrator,Microservices and batch applications,Container and non-container support,Ease of operation and scalability,Consul and Vault integrations"
1054,argoproj/argo-cd,"Declarative continuous deployment,Kubernetes"
1055,txthinking/brook,"cross-platform programmable network tool,跨平台可编程网络工具"
1056,apache/incubator-weex,"Apache Weex,Incubating,Mobile Development,Cross-Platform Framework,Open-Source Community"
1057,formatjs/formatjs,"monorepo,FormatJS,libraries,react-intl"
1058,ranger/ranger,"filemanager,console,VIM-inspired"
1059,ccgus/fmdb,"Cocoa,Objective-C,Wrapper,SQLite"
1060,makeplane/plane,"Open-source software,Project management tools,Issue tracking,Product roadmapping,Simplicity and ease of use"
1061,aio-libs/aiohttp,"Asynchronous HTTP,Client-Server framework,asyncio,Python"
1062,pyecharts/pyecharts,"Python Echarts Plotting Library,Data Visualization,Plotly Express,Pandas,Matplotlib,Seaborn,Data Analysis,Graph Plotting"
1063,go-playground/validator,"Go Struct validation,Field validation,Cross Field validation,Cross Struct validation,Map validation,Slice validation,Array diving/validation"
1064,mattboldt/typed.js,"JavaScript,Typing Animation,Library"
1065,apache/hadoop,"Hadoop Architecture and Components,Data Storage and Processing,MapReduce and Distributed Computing,Hadoop Ecosystem and Tools,Big Data Analytics with Hadoop,Hadoop Cluster Management,Hadoop Security and Performance Optimization"
1066,extrawurst/gitui,"terminal-ui,git,rust"
1067,typescript-eslint/typescript-eslint,"Monorepo,Tooling,ESLint,TypeScript"
1068,aleju/imgaug,"Image augmentation,Machine learning experiments"
1069,unbug/codelf,"Search tools,Software development,Naming conventions"
1070,compiler-explorer/compiler-explorer,"Interactive compilers,Web-based compiler tools,Assembly interaction and debugging"
1071,eclipse-vertx/vert.x,"Vert.x,tool-kit,reactive applications,JVM"
1072,interagent/http-api-design,"HTTP API design guide,Heroku Platform API,API design principles,API development process,API documentation,API performance and scalability,API security considerations"
1073,uuidjs/uuid,Generate RFC-compliant UUIDs in JavaScript
1074,reduxjs/redux-devtools,"DevTools for Redux,Hot Reloading,Action Replay,Customizable UI"
1075,angular-ui/ui-router,"Flexible routing,Nested views,AngularJS"
1076,lra/mackup,"Application settings,Sync,OS X/Linux"
1077,jivoi/awesome-osint,"OSINT,Curated List,Amazingly Awesome Resources"
1078,gitleaks/gitleaks,"Secret Detection,GitLeaks,Security,Repository Scanning,Secret Management"
1079,philipwalton/flexbugs,"Community-curated list,Flexbox issues,Cross-browser workarounds"
1080,go-sql-driver/mysql,"Go MySQL Driver,MySQL,Go (Golang),database/sql package"
1081,elastic/logstash,"Logstash,Transport and process logs,Events and data handling"
1082,microsoft/dotnet,".NET,GitHub,OSS projects,Microsoft,community,.NET Foundation"
1083,vurtun/nuklear,"ANSI C gui library,Single-header library"
1084,eczarny/spectacle,"window management,productivity,mouse alternative"
1085,geektutu/7days-golang,"7-day Golang programming,Web framework development with Gee,Distributed cache system GeeCache,Object-relational mapping (ORM) with GeeORM,Remote procedure call (RPC) framework GeeRPC"
1086,motion-canvas/motion-canvas,"Idea Visualization,Code Implementation,Creative Thinking,Productivity Enhancement,Design Communication"
1087,upptime/upptime,"Uptime monitoring,Status page,GitHub integration"
1088,getsops/sops,"Secret management,Tool flexibility and simplicity"
1089,refinedev/refine,"React-based applications,CRUD functionality,Flexibility and customization,Community support and engagement"
1090,chriskempson/tomorrow-theme,"Future Plans,Goals,Optimism,Preparation,Opportunities,Time Management"
1091,sorin-ionescu/prezto,"Configuration framework,Zsh,Shell customization,Productivity,Personalization"
1092,horovod/horovod,"Distributed training framework,TensorFlow,Keras,PyTorch,Apache MXNet"
1093,skywind3000/kcp,"KCP Protocol,ARQ (Automatic Repeat reQuest),Network Congestion Control,Data Transmission Reliability,Performance Optimization"
1094,amazeui/amazeui,"Amaze UI,Mobile-first design,Modular front-end framework"
1095,froala/design-blocks,"Bootstrap,Design blocks,Modern website design"
1096,zalmoxisus/redux-devtools-extension,Redux DevTools extension
1097,http-party/node-http-proxy,"HTTP proxy,Node.js"
1098,hindupuravinash/the-gan-zoo,"Generative Adversarial Networks,GANs,Deep Convolutional GANs (DCGANs),Conditional GANs,CycleGAN,ProGAN,StyleGAN"
1099,myliang/x-spreadsheet,"project migration,new repository"
1100,chenshuo/muduo,"Event-driven network library,Multi-threaded,Linux server,C++11"
1101,lichess-org/lila,"lichess.org,free chess server,ad-free,open source"
1102,saltstack/salt,"Software automation,Infrastructure management,Configuration management,Application management,Salt software package repository"
1103,tikv/tikv,"Distributed transactional key-value database,TiDB complement"
1104,josdejong/mathjs,"JavaScript math library,Node.js math library"
1105,xtaci/kcptun,"Stable & Secure Tunnel,KCP with N:M multiplexing and FEC,Available for various processor architectures"
1106,beekeeper-studio/beekeeper-studio,"SQL client,Database compatibility,Cross-platform support"
1107,apollographql/apollo-server,"JavaScript GraphQL server,Schema-first development,Compatibility with popular web frameworks (Express, Connect, Hapi, Koa)"
1108,tusen-ai/naive-ui,"Vue 3 Component Library,Complete,Theme Customizable,TypeScript,Fast"
1109,nats-io/nats-server,"High-Performance server,NATS.io,cloud and edge native messaging system"
1110,pybind/pybind11,Seamless operability between C++11 and Python
1111,zellij-org/zellij,"Terminal workspace,Batteries included"
1112,wkhtmltopdf/wkhtmltopdf,"HTML to PDF conversion,Webkit,QtWebKit"
1113,sindresorhus/got,"HTTP request library,Node.js"
1114,pomber/git-history,"Git,Version Control,File History,Repository Browsing"
1115,koreader/koreader,"ebook reader application,supported file formats: PDF, DjVu, EPUB, FB2 and others,compatible devices: Cervantes, Kindle, Kobo, PocketBook, Android"
1116,localsend/localsend,"Open source software,Cross-platform compatibility,AirDrop alternative"
1117,tinymce/tinymce,"JavaScript library,Rich text editing,React support,Vue support,Angular support"
1118,tinygo-org/tinygo,"Go compiler,Small places and microcontrollers,WebAssembly (WASM/WASI),Command-line tools,LLVM"
1119,leon-ai/leon,"Leon,Open-source,Personal Assistant"
1120,mame/quine-relay,"Uroboros program,Programming languages,Language implementation and support"
1121,bkaradzic/bgfx,"Cross-platform,Graphics API agnostic,Bring Your Own Engine/Framework,Rendering library"
1122,google/tink,"Multi-language support,Cross-platform compatibility,Open-source availability,Cryptographic APIs,Secure and easy to use,Misuse resistance"
1123,psf/requests-html,"Pythonic HTML Parsing,Beautiful Soup,Web Scraping,HTML and XML Parsing,Data Extraction,HTML Navigation,Search Functions,Handling Tags and Attributes,LXML and HTML5 Lib Parsing,Parser Comparison"
1124,cachethq/cachet,"open-source,status page,system"
1125,diaspora/diaspora,"Privacy-aware,Distributed,Open Source,Social Network"
1126,strongloop/loopback,"Application Development,Integration Complexity,Modern Applications,LoopBack Framework"
1127,unixorn/awesome-zsh-plugins,"ZSH frameworks,ZSH plugins,ZSH themes,ZSH tutorials"
1128,jessfraz/dockerfiles,"Dockerfiles,Desktop,Servers"
1129,schickling/chromeless,"Chrome automation,Local execution,Headless AWS Lambda deployment"
1130,wong2/chatgpt-google-extension,"Project deprecation,New project announcement: ChatHub"
1131,gollum/gollum,"Wiki,Git integration,API accessibility,Local frontend availability"
1132,fathyb/carbonyl,Chromium running inside a terminal
1133,wilsonfreitas/awesome-quant,"Quantitative Finance,Finance Libraries and Packages,Financial Data Analysis,Quantitative Trading,Risk Management,Quantitative Modeling,Algorithmic Trading,Financial Engineering,Financial Data Sources,Quantitative Strategies"
1134,denisidoro/navi,"Cheatsheet tool,Command-line interactive tool"
1135,vdumoulin/conv_arithmetic,"Technical report,Convolution arithmetic,Deep learning"
1136,mozilla/send,"File sharing,Privacy,Firefox"
1137,piotrwitek/react-redux-typescript-guide,"Static Typing,React,Redux,TypeScript"
1138,video-dev/hls.js,"HLS.js,JavaScript library,HLS,MSE,browser support"
1139,kubesphere/kubesphere,"Container platform,Kubernetes,Multi-cloud management,Datacenter management,Edge management"
1140,microsoft/nni,"AutoML,Machine Learning Lifecycle Automation,Feature Engineering,Neural Architecture Search,Model Compression,Hyper-parameter Tuning"
1141,influxdata/telegraf,"Plugin-driven server agent,Collecting metrics,Reporting metrics"
1142,tailscale/tailscale,"WireGuard,2FA (Two-Factor Authentication),Security,Ease of Use"
1143,trimstray/nginx-admins-handbook,"Improving NGINX performance,Enhancing NGINX security,Other important considerations related to NGINX"
1144,expo/create-react-native-app,"React Native app development,Cross-platform compatibility (iOS, Android, Web)"
1145,casey/just,"Command runner,AI assistant,Chatbot,Large Language Models,Cohere AI,Coral AI"
1146,skyline-emu/skyline,"Nintendo Switch,Homebrew,Android Device,Games"
1147,tensorflow/tfjs-models,"Pretrained models,TensorFlow.js,Machine Learning,WebGL,Transfer Learning"
1148,deeplearning4j/deeplearning4j,"Suite of tools for deep learning on JVM,Model import support for popular frameworks,C++ core library for math operations,Java-based math library,SameDiff: Automatic differentiation library similar to PyTorch/TensorFlow"
1149,abiosoft/colima,"Container runtimes,macOS,Linux,Minimal setup"
1150,charmbracelet/glow,"CLI,Markdown,Rendering"
1151,searx/searx,Privacy-respecting metasearch engine
1152,renovatebot/renovate,"Universal dependency update tool,Workflow integration"
1153,apple/foundationdb,"FoundationDB,open source,distributed systems,transactional,key-value store"
1154,arangodb/arangodb,"Native multi-model database,Flexible data models,High performance applications,SQL-like query language,JavaScript extensions"
1155,angular/angular-seed,Seed project for angular apps
1156,rstacruz/cheatsheets,"Cheatsheets,Python,Machine Learning,Data Science,SQL,HTML & CSS"
1157,webrtc/samples,"WebRTC,Web Demos,Samples"
1158,rwaldron/johnny-five,"JavaScript Robotics,IoT programming framework,Bocoup"
1159,sparanoid/chinese-copywriting-guidelines,"Chinese copywriting guidelines,Written communication in Chinese,Text formatting and layout tips,Tone and style suggestions,Best practices for Chinese text editing"
1160,networkx/networkx,"Network Analysis,Python,Graph Theory,Centrality Measures,Community Detection,Network Visualization,Network Models,Graph Algorithms"
1161,danilowoz/react-content-loader,"SVG-Powered component,Skeleton loadings"
1162,philipwalton/solved-by-flexbox,"CSS limitations,Flexbox,Problem-solving with Flexbox,Trivial ease of use with Flexbox"
1163,jhuangtw/xg2xg,"Technology lookup table,Ex-Googlers community,Similar tech and services"
1164,codelucas/newspaper,"News extraction,Full-text extraction,Article metadata extraction,Python 3,Advanced documentation"
1165,netbox-community/netbox,"network automation,open source,Apache 2 license,public demo available"
1166,kaldi-asr/kaldi,"kaldi-asr/kaldi,Kaldi project"
1167,apache/pulsar,"Apache Pulsar,distributed systems,pub-sub messaging,messaging system"
1168,markets/awesome-ruby,"Ruby libraries,Ruby tools,Ruby frameworks,Ruby software"
1169,blitz-js/blitz,"Fullstack Toolkit,Next.js"
1170,bitwarden/server,"Core infrastructure,Backend components,API,Database,Docker and containerization"
1171,docmirror/dev-sidecar,"开发者边车,Github访问问题,加速指南（包括Github，Git Clone，Git Release和Stack Overflow）"
1172,thephpleague/flysystem,Abstraction for local and remote filesystems
1173,frida/frida,"Frida,Repository Cloning,Software Building"
1174,bolshchikov/js-must-watch,"Must-watch videos about JavaScript,Understanding the importance of JavaScript for web development,Popular YouTube channels for learning JavaScript,Video recommendations for beginners, intermediates, and advanced users,JavaScript framework and library recommendations"
1175,postalserver/postal,"open-source mail delivery platform,incoming email,outgoing email"
1176,selectize/selectize.js,"Selectize,textbox,select box,jQuery,autocomplete,keyboard navigation,tagging,contact lists"
1177,postgres/postgres,"PostgreSQL GIT repository mirror,No pull requests on GitHub,Contribution instructions provided on PostgreSQL wiki"
1178,revel/revel,"Productivity,Web framework,Go language"
1179,mswjs/msw,"REST API mocking,GraphQL API mocking,Browser compatibility,Node.js compatibility"
1180,fauxpilot/fauxpilot,"FauxPilot,Open-source alternative,GitHub Copilot"
1181,ruffle-rs/ruffle,"Flash Player emulator,Rust programming language"
1182,jimp-dev/jimp,"Image processing library,Written in JavaScript,For Node (JavaScript runtime environment),Zero external or native dependencies"
1183,golang/dep,"Go dependency management tool experiment,Deprecated"
1184,unocss/unocss,"on-demand atomic CSS,instant CSS engine"
1185,electron-userland/electron-builder,"Electron app packaging,Electron app building,Electron app distribution,Auto update support"
1186,rjsf-team/react-jsonschema-form,"React component,Web forms,JSON Schema"
1187,github/opensource.guide,"📚 Community guides for open-source creators,Building a community,Governance and leadership,Documentation and teaching,Funding and sustainability,Mental health and self-care"
1188,kubernetes/dashboard,"General-purpose web UI,Kubernetes clusters"
1189,openstf/stf,"Control and manage Android devices,Browser-based device management"
1190,graykode/nlp-tutorial,"Natural Language Processing,Deep Learning,Tutorial,Researchers"
1191,pinpoint-apm/pinpoint,"Application Performance Management (APM),Large-Scale Distributed Systems"
1192,samber/lo,"Lodash-style Go library,Go 1.18+ Generics,map, filter, contains, find functions"
1193,wix/react-native-navigation,"React Native,Native Navigation,Navigation Solution"
1194,tree-sitter/tree-sitter,"Incremental parsing,Programming tools,Parser combinators,Parsing expression grammar,Abstract syntax tree"
1195,kubeflow/kubeflow,"Machine Learning,Kubernetes,Toolkit"
1196,polybar/polybar,A fast and easy-to-use status bar
1197,reactos/reactos,"Free and open-source software,Windows-compatible operating system,Alternative to proprietary software"
1198,kodecocodes/swift-style-guide,"Swift,Style Guide,Kodeco"
1199,mayooear/gpt4-pdf-chatbot-langchain,"GPT-4,LangChain,Chatbot,Large PDF Documents"
1200,bytecodealliance/wasmtime,"WebAssembly,Runtime,Performance,Security"
